genome	fastbaps_group	n_contigs	N50	total_len	assembly_level	checkm_completeness	checkm_contamination	seq_tech	strain	isolate
GCA_042876865.1	12	20	189004	1798156	Scaffold	99.43	0.35	Illumina MiSeq	C231000061	
GCA_042876885.1	12	22	178244	1797851	Scaffold	99.28	0.25	Illumina MiSeq	C231000039	
GCA_042876905.1	15	31	133943	1757860	Scaffold	98.77		Illumina MiSeq	C231000038	
GCA_042876925.1	12	21	166176	1866132	Scaffold	99.53	0.27	Illumina MiSeq	C231000017	
GCA_042876945.1	14	24	148765	1805142	Scaffold	97.78	0.4	Illumina MiSeq	C230900307	
GCA_042876965.1	3	16	243346	1819108	Scaffold	98.91		Illumina MiSeq	C230900323	
GCA_042876985.1	12	18	163087	1788234	Scaffold	98.91		Illumina MiSeq	C230900304	
GCA_042877005.1	3	17	243337	1819109	Scaffold	97.48		Illumina MiSeq	C230900243	
GCA_042877025.1	8	30	134011	1823403	Scaffold	98.31		Illumina MiSeq	C230900230	
GCA_042877065.1	2	14	197274	1744248	Scaffold	99.65	0.08	Illumina MiSeq	C230801236	
GCA_042877085.1	3	14	243346	1819806	Scaffold	98.91		Illumina MiSeq	C230900011	
GCA_042877105.1	12	14	294436	1756618	Scaffold	99.25		Illumina MiSeq	C240600256	
GCA_042877165.1	2	11	250686	1810637	Scaffold	99.69	0.35	Illumina MiSeq	C230700212	
GCA_042877205.1	3	11	243346	1819825	Scaffold	99.08		Illumina MiSeq	C240600198	
GCA_042877225.1	3	17	243346	1819588	Scaffold	98.91		Illumina MiSeq	C240600132	
GCA_042877245.1	11	14	260557	1915397	Scaffold	98.16	0.08	Illumina MiSeq	C240600094	
GCA_042877265.1	12	18	269664	1839222	Scaffold	98.85		Illumina MiSeq	C240600179	
GCA_042877285.1	3	14	243345	1861996	Scaffold	98.94		Illumina MiSeq	C240600042	
GCA_042877305.1	6	25	193849	1824159	Scaffold	99.48		Illumina MiSeq	C240600037	
GCA_042877325.1	6	34	175724	1854800	Scaffold	99.03		Illumina MiSeq	C240500368	
GCA_042877345.1	12	31	197056	1910801	Scaffold	99.62	0.1	Illumina MiSeq	C240500200	
GCA_042877365.1	6	33	170614	1821820	Scaffold	99.46		Illumina MiSeq	C240500335	
GCA_042877385.1	3	12	243346	1819353	Scaffold	99.08		Illumina MiSeq	C240500184	
GCA_042877405.1	9	20	139070	1815347	Scaffold	99.5		Illumina MiSeq	C240500319	
GCA_042877425.1	12	31	124410	1880471	Scaffold	99.43	0.35	Illumina MiSeq	C240500152	
GCA_042877465.1	12	23	221419	1948391	Scaffold	99.58	0.1	Illumina MiSeq	C240500068	
GCA_042877485.1	12	23	223098	1949603	Scaffold	99.58	0.1	Illumina MiSeq	C240500069	
GCA_042877505.1	2	13	198429	1744807	Scaffold	99.69	0.08	Illumina MiSeq	C240500063	
GCA_042877525.1	3	11	243346	1818915	Scaffold	99.08		Illumina MiSeq	C240400304	
GCA_042877545.1	3	23	233412	1847452	Scaffold	98.9		Illumina MiSeq	C240500032	
GCA_042877565.1	2	13	197601	1808220	Scaffold	99.69	0.35	Illumina MiSeq	C240400201	
GCA_042877585.1	3	14	243346	1819451	Scaffold	98.91		Illumina MiSeq	C240400249	
GCA_042877605.1	12	35	112688	1899273	Scaffold	98.91	0.26	Illumina MiSeq	C240400223	
GCA_042877625.1	2	13	198422	1808220	Scaffold	99.69	0.35	Illumina MiSeq	C240400196	
GCA_042877685.1	9	19	220507	1797887	Scaffold	99.68		Illumina MiSeq	C240400166	
GCA_042877765.1	1	25	163323	1779578	Scaffold	99.47		Illumina MiSeq	C240400147	
GCA_042877785.1	9	19	220507	1797823	Scaffold	99.68		Illumina MiSeq	C240400085	
GCA_042877805.1	14	22	162838	1739190	Scaffold	97.94	0.4	Illumina MiSeq	C240400090	
GCA_042877825.1	9	22	203798	1798566	Scaffold	99.68		Illumina MiSeq	C240400027	
GCA_042877865.1	3	14	243346	1820367	Scaffold	98.91		Illumina MiSeq	C240400022	
GCA_042877875.1	3	15	243346	1818152	Scaffold	99.08		Illumina MiSeq	C240400023	
GCA_042877925.1	6	28	170509	1822063	Scaffold	99.37		Illumina MiSeq	C240300293	
GCA_042877945.1	9	25	102098	1838927	Scaffold	99.68		Illumina MiSeq	C240300364	
GCA_042877965.1	9	25	122999	1798896	Scaffold	99.68		Illumina MiSeq	C240300332	
GCA_042878045.1	9	22	203800	1799765	Scaffold	99.68		Illumina MiSeq	C240300194	
GCA_042878075.1	12	18	289262	1842218	Scaffold	99.34	0.4	Illumina MiSeq	C240300216	
GCA_042878125.1	12	25	178176	1802287	Scaffold	99.43	0.35	Illumina MiSeq	C240300192	
GCA_042878145.1	9	19	220555	1798199	Scaffold	99.68		Illumina MiSeq	C240300158	
GCA_042878165.1	9	19	220555	1798775	Scaffold	99.68		Illumina MiSeq	C240300168	
GCA_042878245.1	9	25	123142	1839352	Scaffold	99.68		Illumina MiSeq	C240300101	
GCA_042878265.1	9	28	115666	1832463	Scaffold	99.62		Illumina MiSeq	C240300062	
GCA_042878275.1	9	19	203799	1766832	Scaffold	99.68		Illumina MiSeq	C240300029	
GCA_042878305.1	9	23	122999	1800352	Scaffold	99.68		Illumina MiSeq	C240200396	
GCA_042878385.1	14	28	162970	1768021	Scaffold	97.94	0.4	Illumina MiSeq	C240200373	
GCA_042878465.1	5	16	162993	1711107	Scaffold	98.1		Illumina MiSeq	C240200369	
GCA_042878485.1	10	27	162949	1755977	Scaffold	99.47		Illumina MiSeq	C240200372	
GCA_042878505.1	9	22	122912	1800376	Scaffold	99.68		Illumina MiSeq	C240200330	
GCA_042878535.1	9	26	102296	1839164	Scaffold	99.68		Illumina MiSeq	C240200345	
GCA_042878545.1	3	16	243431	1820138	Scaffold	98.83		Illumina MiSeq	C240200293	
GCA_042878565.1	2	14	197650	1808979	Scaffold	99.69	0.35	Illumina MiSeq	C240200249	
GCA_042878755.1	2	12	250686	1810601	Scaffold	99.69	0.35	Illumina MiSeq	C240200192	
GCA_042882725.1	9	24	123042	1838631	Scaffold	99.68		Illumina MiSeq	C240200180	
GCA_042882745.1	9	25	122955	1838327	Scaffold	99.68		Illumina MiSeq	C240200121	
GCA_042882765.1	12	30	162933	1863372	Scaffold	99.52	0.36	Illumina MiSeq	C240200145	
GCA_042882805.1	3	14	243346	1820146	Scaffold	98.91		Illumina MiSeq	C240200108	
GCA_042882825.1	9	25	102296	1839239	Scaffold	99.59		Illumina MiSeq	C240200061	
GCA_042882865.1	12	17	289262	1842338	Scaffold	99.44	0.4	Illumina MiSeq	C240200051	
GCA_042882885.1	5	16	162994	1750060	Scaffold	98.1		Illumina MiSeq	C240200060	
GCA_042882945.1	4	22	297312	1926358	Scaffold	98.94		Illumina MiSeq	C240100441	
GCA_042883005.1	9	23	203798	1839187	Scaffold	99.68		Illumina MiSeq	C240100501	
GCA_042883025.1	11	18	257950	1883388	Scaffold	98.08	0.14	Illumina MiSeq	C240100409	
GCA_042883045.1	6	33	175725	1855867	Scaffold	99.42		Illumina MiSeq	C240100298	
GCA_042883065.1	9	25	102296	1839612	Scaffold	99.68		Illumina MiSeq	C240100305	
GCA_042883125.1	9	33	123194	1866658	Scaffold	99.68		Illumina MiSeq	C240100235	
GCA_042883145.1	10	30	178054	1794528	Scaffold	99.47		Illumina MiSeq	C240100214	
GCA_042883185.1	2	14	195361	1743075	Scaffold	99.69	0.08	Illumina MiSeq	C240100191	
GCA_042883205.1	9	24	123071	1836790	Scaffold	99.68		Illumina MiSeq	C240100128	
GCA_042883225.1	9	27	115798	1830549	Scaffold	99.66		Illumina MiSeq	C240100054	
GCA_042883255.1	14	23	162922	1738104	Scaffold	97.9	0.4	Illumina MiSeq	C240100024	
GCA_054325835.1	10	117	99659	1873423	Scaffold	99.19	0.07	Illumina NextSeq	spy_Y64	
GCA_054326315.1	9	91	123245	1916046	Scaffold	99.68	0.15	Illumina NextSeq	spy_S72	
GCA_054326375.1	9	168	123049	1939534	Scaffold	99.72	0.82	Illumina NextSeq	spy_Y60	
GCA_054326395.1	9	42	123135	1903769	Scaffold	99.59		Illumina NextSeq	spy_Y67	
GCA_054326415.1	10	44	99611	1823984	Scaffold	99.25	0.02	Illumina NextSeq	spy_Y69	
GCA_054326435.1	9	36	101296	1903677	Scaffold	99.72	0.02	Illumina NextSeq	spy_Y70	
GCA_054326455.1	10	129	99659	1880282	Scaffold	98.47	0.02	Illumina NextSeq	spy_Y63	
GCA_054326475.1	9	45	123160	1899155	Scaffold	99.72		Illumina NextSeq	spy_Y68	
GCA_054326495.1	10	132	99646	1876672	Scaffold	99.14		Illumina NextSeq	spy_Y61	
GCA_054326515.1	10	223	98692	1919411	Scaffold	99.25	0.3	Illumina NextSeq	spy_Y65	
GCA_054326535.1	10	131	99659	1878490	Scaffold	99.25	0.04	Illumina NextSeq	spy_Y62	
GCA_054326555.1	10	103	101199	1872511	Scaffold	99.25	0.17	Illumina NextSeq	spy_S73	
GCA_054326575.1	10	138	99659	1884078	Scaffold	98.47	0.1	Illumina NextSeq	spy_Y56	
GCA_054326595.1	10	146	99463	1883234	Scaffold	99.14	0.12	Illumina NextSeq	spy_Y57	
GCA_054326615.1	10	235	99659	1916310	Scaffold	99.15	1.5	Illumina NextSeq	spy_Y58	
GCA_054326635.1	10	103	131016	1772569	Scaffold	98.79	0.28	Illumina NextSeq	spy_Y49	
GCA_054326655.1	10	143	99659	1879755	Scaffold	99.12	0.02	Illumina NextSeq	spy_S71	
GCA_054326675.1	10	81	99659	1867097	Scaffold	99.14		Illumina NextSeq	spy_S75	
GCA_054326695.1	10	188	149068	1859844	Scaffold	99.25	0.44	Illumina NextSeq	spy_S68	
GCA_054326715.1	10	78	99659	1862336	Scaffold	99.25		Illumina NextSeq	spy_S62	
GCA_054326735.1	10	79	99659	1833478	Scaffold	99.25	0.07	Illumina NextSeq	spy_S67	
GCA_054326755.1	10	129	99659	1882334	Scaffold	99.14	0.11	Illumina NextSeq	spy_S74	
GCA_054326775.1	10	134	148502	1839823	Scaffold	99.25	0.49	Illumina NextSeq	spy_S65	
GCA_054326795.1	10	157	99659	1889383	Scaffold	99.12	0.33	Illumina NextSeq	spy_S69	
GCA_054326815.1	10	84	148502	1826406	Scaffold	99.25	1.01	Illumina NextSeq	spy_S61	
GCA_054326835.1	10	135	99659	1880285	Scaffold	99.14	0.78	Illumina NextSeq	spy_S66	
GCA_054330235.1	10	69	99659	1859619	Scaffold	99.14		Illumina NextSeq	spy_S59	
GCA_054330255.1	10	77	99557	1838299	Scaffold	99.14	0.08	Illumina NextSeq	spy_S58	
GCA_054330275.1	9	96	122948	1917720	Scaffold	99.72		Illumina NextSeq	spy_S63	
GCA_054330295.1	10	79	99659	1838702	Scaffold	99.14	0.08	Illumina NextSeq	spy_S64	
GCA_054330315.1	10	141	149068	1844008	Scaffold	99.25	0.1	Illumina NextSeq	spy_S47	
GCA_054330335.1	10	1054	98399	2090900	Scaffold	99.25		Illumina NextSeq	spy_S53	
GCA_054330355.1	9	39	123050	1902836	Scaffold	99.72		Illumina NextSeq	spy_S56	
GCA_054330375.1	10	51	98775	1855547	Scaffold	98.41	0.33	Illumina NextSeq	spy_S55	
GCA_054330395.1	10	66	99557	1835669	Scaffold	99.14	0.08	Illumina NextSeq	spy_S57	
GCA_054330415.1	10	71	148502	1823293	Scaffold	99.25	0.27	Illumina NextSeq	spy_S60	
GCA_054330435.1	9	55	123050	1906647	Scaffold	99.72	0.13	Illumina NextSeq	spy_S50	
GCA_054330455.1	10	709	98141	2034814	Scaffold	99.25	0.13	Illumina NextSeq	spy_S54	
GCA_054330475.1	10	686	98713	2031802	Scaffold	99.25		Illumina NextSeq	spy_S52	
GCA_054330495.1	10	54	99659	1858368	Scaffold	99.25		Illumina NextSeq	spy_S38	
GCA_054330515.1	10	46	99659	1852172	Scaffold	99.25		Illumina NextSeq	spy_S42	
GCA_054330535.1	9	65	101296	1909078	Scaffold	99.71	0.73	Illumina NextSeq	spy_S51	
GCA_054330555.1	10	45	99659	1854686	Scaffold	99.12		Illumina NextSeq	spy_S41	
GCA_054330575.1	10	39	99659	1853465	Scaffold	99.25		Illumina NextSeq	spy_S46	
GCA_054330595.1	10	207	99659	1898227	Scaffold	99.25	0.93	Illumina NextSeq	spy_S45	
GCA_054330615.1	10	42	99611	1854186	Scaffold	99.14		Illumina NextSeq	spy_S35	
GCA_054330635.1	9	38	99814	1900179	Scaffold	99.72		Illumina NextSeq	spy_S34	
GCA_054330655.1	10	47	99659	1852449	Scaffold	99.25		Illumina NextSeq	spy_S44	
GCA_054330675.1	10	48	99659	1855725	Scaffold	99.25		Illumina NextSeq	spy_S37	
GCA_054330715.1	10	51	99659	1857761	Scaffold	99.25		Illumina NextSeq	spy_S40	
GCA_054330735.1	10	46	99596	1855524	Scaffold	99.14	0.17	Illumina NextSeq	spy_S36	
GCA_054330755.1	10	54	99659	1831673	Scaffold	99.14	0.03	Illumina NextSeq	spy_S32	
GCA_054330775.1	10	64	99659	1858795	Scaffold	99.25	0.02	Illumina NextSeq	spy_S31	
GCA_054330795.1	10	41	99659	1828412	Scaffold	99.14	0.17	Illumina NextSeq	spy_S33	
GCA_054330815.1	10	74	183675	1833281	Scaffold	99.25	0.11	Illumina NextSeq	spy_S22	
GCA_054330835.1	10	51	99659	1857582	Scaffold	99.25	0.03	Illumina NextSeq	spy_S30	
GCA_054330855.1	12	68	134769	1779051	Scaffold	99.07		Illumina NextSeq	spy_S27	
GCA_054330875.1	10	58	99659	1859138	Scaffold	99.25		Illumina NextSeq	spy_S29	
GCA_054330895.1	10	48	148501	1819547	Scaffold	99.2	0.02	Illumina NextSeq	spy_S28	
GCA_054330915.1	14	126	113061	1927377	Scaffold	98.44	0.38	Illumina NextSeq	spy_S24	
GCA_054330935.1	10	92	99651	1869834	Scaffold	99.14	0.5	Illumina NextSeq	spy_S23	
GCA_054330955.1	10	66	101302	1829787	Scaffold	99.25	0.07	Illumina NextSeq	spy_S20	
GCA_054330975.1	10	108	99658	1871087	Scaffold	99.25	0.21	Illumina NextSeq	spy_S17	
GCA_054330995.1	10	64	99659	1860671	Scaffold	99.25	0.15	Illumina NextSeq	spy_S21	
GCA_054331015.1	10	52	99742	1831364	Scaffold	99.25		Illumina NextSeq	spy_S19	
GCA_054331035.1	10	87	99659	1868302	Scaffold	99.14	0.72	Illumina NextSeq	spy_S18	
GCA_054331055.1	10	53	99660	1858244	Scaffold	99.14	0.16	Illumina NextSeq	spy_S15	
GCA_054331075.1	10	91	99659	1865057	Scaffold	99.25	0.68	Illumina NextSeq	spy_S16	
GCA_054331095.1	10	47	99651	1857228	Scaffold	99.14		Illumina NextSeq	spy_S06	
GCA_054331115.1	10	86	101302	1835964	Scaffold	99.25		Illumina NextSeq	spy_S09	
GCA_054331135.1	10	63	183706	1856344	Scaffold	99.14	0.03	Illumina NextSeq	spy_S14	
GCA_054331155.1	10	51	99839	1825156	Scaffold	99.25	0.02	Illumina NextSeq	spy_S08	
GCA_054331175.1	10	48	99659	1852408	Scaffold	99.14		Illumina NextSeq	spy_S13	
GCA_054331195.1	10	59	101229	1856891	Scaffold	99.25		Illumina NextSeq	spy_S10	
GCA_054331215.1	10	57	99659	1859801	Scaffold	98.47		Illumina NextSeq	spy_S12	
GCA_054331235.1	10	133	98141	1849402	Scaffold	99.2	0.46	Illumina NextSeq	spy_S11	
GCA_054331255.1	12	95	183690	1906750	Scaffold	98.48	0.49	Illumina NextSeq	spy_S07	
GCA_054331275.1	10	46	99658	1830832	Scaffold	99.25	0.03	Illumina NextSeq	spy_S04	
GCA_054331295.1	10	61	101302	1829020	Scaffold	99.25		Illumina NextSeq	spy_S03	
GCA_054331315.1	10	59	99659	1860521	Scaffold	99.25		Illumina NextSeq	spy_S05	
GCA_054331335.1	10	68	148568	1826660	Scaffold	99.25	0.1	Illumina NextSeq	spy_S02	
GCA_054331355.1	5	41	178065	1778411	Scaffold	98.1	0.1	Illumina NextSeq	spy_S01	
GCA_056467675.1	10	67	81317	1846649	Scaffold	99.25		BGI	SZ201923-M12	
GCA_056467685.1	10	41	99540	1826111	Scaffold	98.97		BGI	TZ33-2017	
GCA_056467785.1	10	47	87709	1824045	Scaffold	99.25		BGI	SZ201921-M12	
GCA_056467795.1	10	41	94855	1816108	Scaffold	99.25		BGI	SZ201918-M12	
GCA_056467905.1	10	38	130259	1812927	Scaffold	99.25		BGI	SZ201908-M12	
GCA_056467955.1	10	67	87709	1849108	Scaffold	99.25		BGI	SZ201907-M12	
GCA_056468085.1	10	43	99659	1849837	Scaffold	99.25		BGI	SY014-2014	
GCA_056468185.1	10	41	99659	1848669	Scaffold	99.25		BGI	STS14-2014	
GCA_056468195.1	10	35	119245	1892080	Scaffold	99.47		BGI	SJS002-2013	
GCA_056468425.1	10	43	99721	1862489	Scaffold	99.42		BGI	MTG3-2012	
GCA_056468435.1	10	34	99613	1839699	Scaffold	99.09		BGI	MTG2-2012	
GCA_056468555.1	10	43	99643	1847397	Scaffold	98.58		BGI	MTG10-2014	
GCA_056468645.1	10	33	99578	1803435	Scaffold	99.08		BGI	MTG005-2013	
GCA_056468665.1	10	58	98189	1850872	Scaffold	99.47		BGI	JN7-M12	
GCA_056468695.1	10	65	97020	1893068	Scaffold	99.47		BGI	JN9-M12	
GCA_056468765.1	10	66	87590	1843305	Scaffold	99.14		BGI	JN78-M12	
GCA_056468845.1	10	67	97020	1891301	Scaffold	99.47		BGI	JN77-M12	
GCA_056468865.1	10	55	83855	1853908	Scaffold	99.47		BGI	JN74-M12	
GCA_056468885.1	10	67	96988	1922384	Scaffold	99.47	0.5	BGI	JN73-M12	
GCA_056468945.1	10	71	97020	1903110	Scaffold	99.47		BGI	JN72-M12	
GCA_056468985.1	10	66	97020	1892692	Scaffold	99.4		BGI	JN69-M12	
GCA_056469025.1	10	62	87709	1836865	Scaffold	98.56		BGI	JN66-M12	
GCA_056469065.1	10	65	97020	1891011	Scaffold	99.47		BGI	JN63-M12	
GCA_056469105.1	10	68	97020	1890954	Scaffold	99.42		BGI	JN52-M12	
GCA_056469125.1	10	67	97020	1889891	Scaffold	99.47		BGI	JN59-M12	
GCA_056469185.1	10	90	101259	1914153	Scaffold	99.47		BGI	JN51-M12	
GCA_056469225.1	10	68	97020	1892068	Scaffold	99.47		BGI	JN47-M12	
GCA_056469265.1	10	63	97020	1889236	Scaffold	99.47		BGI	JN46-M12	
GCA_056469305.1	10	66	97020	1888331	Scaffold	99.47		BGI	JN41-M12	
GCA_056469345.1	10	57	98189	1869188	Scaffold	99.47		BGI	JN38-M12	
GCA_056469385.1	10	64	97020	1891275	Scaffold	99.47		BGI	JN39-M12	
GCA_056469425.1	10	63	111356	1847127	Scaffold	99.42		BGI	JN34-M12	
GCA_056469465.1	10	65	97020	1890002	Scaffold	99.47		BGI	JN31-M12	
GCA_056469505.1	10	56	98189	1868108	Scaffold	99.47		BGI	JN30-M12	
GCA_056469555.1	10	55	98184	1868018	Scaffold	99.47		BGI	JN2-M12	
GCA_056469585.1	10	66	97020	1888379	Scaffold	99.42		BGI	JN28-M12	
GCA_056469605.1	10	54	98189	1869940	Scaffold	99.46		BGI	JN23-M12	
GCA_056469665.1	10	63	97020	1887968	Scaffold	99.47		BGI	JN1-M12	
GCA_056469705.1	10	64	101259	1890793	Scaffold	99.47		BGI	JN14-M12	
GCA_056469725.1	10	65	97020	1891485	Scaffold	99.47		BGI	JN16-M12	
GCA_056469825.1	10	47	98603	1849683	Scaffold	99.25		BGI	HR13-2012	
GCA_056469965.1	10	44	98602	1850022	Scaffold	99.14		BGI	HD7-2012	
GCA_056469985.1	10	47	98566	1844698	Scaffold	99.25		BGI	HD4-2012	
GCA_056470045.1	10	44	98674	1850299	Scaffold	99.14		BGI	HD26-2012	
GCA_056470065.1	10	44	99611	1844432	Scaffold	99.25		BGI	HD23-2012	
GCA_056470085.1	10	42	99659	1848794	Scaffold	99.14		BGI	HD16-2012	
GCA_056470125.1	10	46	99659	1849805	Scaffold	99.25		BGI	HD002-2013	
GCA_056470145.1	10	42	101259	1869888	Scaffold	99.46		BGI	FT3-2012	
GCA_056470165.1	10	34	99659	1819239	Scaffold	99.25		BGI	H04-2012	
GCA_056470185.1	10	43	99659	1849915	Scaffold	99.14		BGI	FT12-2012	
