qg	qfocal	p_recent	n
GCF_000007425.1	other	0.857142857142857	7
GCF_000009385.1	other	0.483870967741936	62
GCF_000011285.1	other	0.75	8
GCF_000011665.1	other	0.979591836734694	98
GCF_000011765.3	other	0.605263157894737	76
GCF_000012165.2	other	0.75	16
GCF_000013485.1	other	0.96875	64
GCF_000013505.1	other	0.666666666666667	6
GCF_000013545.1	other	0.916666666666667	48
GCF_000018125.1	other	0.333333333333333	18
GCF_000146715.1	focal	1	1
GCF_000167435.2	other	0.8	10
GCF_000230295.1	other	0.932432432432432	148
GCF_000250905.1	other	0.714285714285714	28
GCF_000250925.1	other	0.714285714285714	28
GCF_000275625.1	other	0.956521739130435	69
GCF_000290575.1	other	0	3
GCF_000290595.1	other	0	3
GCF_000307535.1	other	0.566666666666667	60
GCF_000349925.2	other	0.633333333333333	60
GCF_000422045.1	other	0.818181818181818	22
GCF_000629625.1	other	0	2
GCF_000629645.1	other	0.96875	64
GCF_000629665.1	other	0.857142857142857	7
GCF_000629685.1	other	0.782608695652174	46
GCF_000629705.1	other	0.647058823529412	34
GCF_000629725.1	other	0	2
GCF_000629745.1	other	0.936170212765957	47
GCF_000629765.1	other	0	2
GCF_000629785.1	other	0.710526315789474	76
GCF_000629805.1	other	0.75	4
GCF_000629825.1	other	0.75	8
GCF_000629845.1	other	0	2
GCF_000629865.1	other	0.947368421052632	38
GCF_000629885.1	other	0.947368421052632	57
GCF_000629905.1	other	0.947368421052632	57
GCF_000629925.1	other	0.923076923076923	39
GCF_000629945.1	other	0.75	8
GCF_000629965.1	other	0.947368421052632	38
GCF_000629985.1	other	0.565217391304348	46
GCF_000630005.1	other	0.75	8
GCF_000630025.1	other	0.96875	64
GCF_000630045.1	other	0.950819672131147	61
GCF_000630065.1	other	0.96	50
GCF_000630085.1	other	0.75	8
GCF_000630105.1	other	0.981132075471698	53
GCF_000630125.1	other	0.934782608695652	46
GCF_000630145.1	other	0.943396226415094	53
GCF_000630165.1	other	0.950819672131147	61
GCF_000630185.1	other	0.5	4
GCF_000630205.1	other	0.956521739130435	69
GCF_000630225.1	other	0.5	4
GCF_000630245.1	other	0.975	80
GCF_000630265.1	other	0.5	20
GCF_000630285.1	other	0.75	4
GCF_000630305.1	other	0.950819672131147	61
GCF_000630325.1	other	0.75	4
GCF_000630345.1	other	1	64
GCF_000630365.1	other	0.947368421052632	38
GCF_000630385.1	other	0.903225806451613	31
GCF_000630405.1	other	0.652173913043478	46
GCF_000630425.1	other	0.948275862068965	58
GCF_000630445.1	other	0	2
GCF_000630465.1	other	0.926829268292683	41
GCF_000630485.1	other	0.941176470588235	34
GCF_000630505.1	other	0.96	50
GCF_000630525.1	other	0.75	4
GCF_000630545.1	other	0	2
GCF_000630565.1	other	0.697368421052632	76
GCF_000630585.1	other	0.903225806451613	31
GCF_000630605.1	other	0	2
GCF_000630625.1	other	0.930232558139535	43
GCF_000630645.1	other	0.934782608695652	46
GCF_000630665.1	other	0.962962962962963	54
GCF_000630685.1	other	0.857142857142857	7
GCF_000630705.1	other	0.96875	64
GCF_000630725.1	other	0.75	8
GCF_000630745.1	other	0.975	80
GCF_000630765.1	other	0.5	60
GCF_000630785.1	other	0.75	4
GCF_000630805.1	other	0	2
GCF_000630825.1	other	0.75	4
GCF_000630845.1	other	0	2
GCF_000630865.1	other	0	2
GCF_000630885.1	other	0.96	50
GCF_000630905.1	other	0.947368421052632	38
GCF_000630925.1	other	0.75	4
GCF_000630945.1	other	0.552631578947369	76
GCF_000630965.1	other	0.75	8
GCF_000630985.1	other	0.75	4
GCF_000631005.1	other	0.5	4
GCF_000631025.1	other	0.75	4
GCF_000631045.1	other	0.75	8
GCF_000631065.1	other	0.75	8
GCF_000631085.1	other	0.75	4
GCF_000631105.1	other	0	2
GCF_000631125.1	other	0	2
GCF_000631145.1	other	0.6	5
GCF_000631165.1	other	0.666666666666667	6
GCF_000631185.1	other	0.75	4
GCF_000631205.1	other	0.666666666666667	9
GCF_000631225.1	other	0	2
GCF_000631245.1	other	0.75	4
GCF_000631265.1	other	0.6	5
GCF_000631285.1	other	0	2
GCF_000631305.1	other	0.75	4
GCF_000631325.1	other	0.5	4
GCF_000631345.1	other	0.666666666666667	6
GCF_000631365.1	other	0.5	4
GCF_000631385.1	other	0.618421052631579	76
GCF_000631405.1	other	0.733333333333333	60
GCF_000631425.1	other	0.566666666666667	60
GCF_000631445.1	other	0.947368421052632	38
GCF_000631465.1	other	0.896551724137931	29
GCF_000631485.1	other	0.948275862068965	58
GCF_000631505.1	other	0.950819672131147	61
GCF_000631525.1	other	0.926829268292683	41
GCF_000631545.1	other	0.947368421052632	38
GCF_000631565.1	other	0.950819672131147	61
GCF_000631585.1	other	0.926829268292683	41
GCF_000631605.1	other	0.96	50
GCF_000631625.1	other	0.975	80
GCF_000631645.1	other	0.96	50
GCF_000631665.1	other	0.967032967032967	91
GCF_000631685.1	other	0.947368421052632	38
GCF_000631705.1	other	0.979591836734694	98
GCF_000631725.1	other	0.936170212765957	47
GCF_000631745.1	other	0.96	50
GCF_000631765.1	other	0.947368421052632	38
GCF_000631785.1	other	0.947368421052632	57
GCF_000631805.1	other	0.926829268292683	41
GCF_000631825.1	other	0.947368421052632	38
GCF_000631845.1	other	0.962025316455696	79
GCF_000631865.1	other	0.794117647058824	34
GCF_000631885.1	other	1	38
GCF_000631905.1	other	0.947368421052632	38
GCF_000631925.1	other	0.950819672131147	61
GCF_000631945.1	other	0.938775510204082	49
GCF_000732345.1	other	0.8	5
GCF_000732425.1	other	1	2
GCF_000743015.1	other	0.571428571428571	14
GCF_000756485.1	focal	1	488
GCF_000767505.1	other	0.333333333333333	6
GCF_000772185.1	other	0.941176470588235	51
GCF_000772245.1	focal	1	6
GCF_000993765.1	other	0.416666666666667	24
GCF_001014285.1	other	0.985294117647059	136
GCF_001014305.1	other	0.985294117647059	136
GCF_001019635.1	focal	0.897637795275591	127
GCF_001019675.1	focal	0.956521739130435	46
GCF_001019695.1	other	0	4
GCF_001020185.2	other	0.75	16
GCF_001021955.1	other	0.565217391304348	46
GCF_001023495.1	other	0.875	16
GCF_001039695.1	other	0.941176470588235	34
GCF_001051095.1	other	0.652173913043478	46
GCF_001182065.1	other	1	7
GCF_001267805.1	focal	1	47
GCF_001267845.1	other	0.875	16
GCF_001535565.1	other	0.75	16
GCF_001547715.1	other	0.985294117647059	136
GCF_001547835.1	other	0.478260869565217	46
GCF_001559175.2	other	0.657894736842105	76
GCF_001620285.1	other	0.945205479452055	146
GCF_001635895.1	other	1	34
GCF_001635935.1	other	1	30
GCF_001635975.1	other	0.941176470588235	34
GCF_001638275.1	other	0	1
GCF_001638385.1	other	0	1
GCF_001638435.1	other	0	2
GCF_001638485.1	other	0	1
GCF_001638545.1	other	0	2
GCF_001638575.1	other	0	1
GCF_001638585.1	other	0.5	2
GCF_001638645.1	other	0	2
GCF_001638675.1	focal	0	2
GCF_001638745.1	focal	0.333333333333333	3
GCF_001638775.1	other	0	1
GCF_001638805.1	other	0.333333333333333	6
GCF_001638845.2	focal	0.538461538461538	13
GCF_001638865.1	other	0	2
GCF_001638895.1	other	0	3
GCF_001640945.2	focal	0.538461538461538	52
GCF_001678885.1	other	0.777777777777778	18
GCF_001937265.1	other	0.666666666666667	3
GCF_001982765.1	other	0.75	4
GCF_001982785.1	other	0	1
GCF_002016575.1	other	0	1
GCF_002055535.1	other	0.416666666666667	24
GCF_002163545.1	other	0.2	10
GCF_002236855.1	other	1	8
GCF_002236875.1	other	1	8
GCF_002238295.1	other	0.25	8
GCF_002238315.1	other	0.4	10
GCF_002250265.1	other	1	158
GCF_002250335.1	other	1	32
GCF_002355175.1	other	0.75	8
GCF_002355815.1	other	0.941176470588235	34
GCF_002557755.1	other	1	16
GCF_002844355.1	other	1	7
GCF_003025365.1	other	0.980392156862745	51
GCF_003203475.1	other	0.153846153846154	13
GCF_003352145.1	other	1	99
GCF_003609955.1	other	0.75	8
GCF_003640605.1	other	1	50
GCF_003698205.1	other	1	8
GCF_003812645.1	other	0.975	80
GCF_003812725.1	other	0.75	8
GCF_003814365.1	other	0.92	50
GCF_003814385.1	other	0.92	50
GCF_004010855.1	other	0.875	16
GCF_004010875.1	other	0.75	16
GCF_004123995.1	other	0.875	16
GCF_004124015.1	focal	0.909090909090909	33
GCF_004124075.1	other	0.666666666666667	6
GCF_004124115.1	other	0.666666666666667	6
GCF_004124135.1	focal	0.933333333333333	60
GCF_004135875.1	other	0.4	10
GCF_004153945.1	other	0.75	16
GCF_004153965.1	other	0.75	16
GCF_004153985.1	other	0.75	16
GCF_004154005.1	other	0.75	16
GCF_004154025.1	other	0.75	16
GCF_004154045.1	other	0.75	16
GCF_004154065.1	other	0.75	16
GCF_004154085.1	other	0.75	16
GCF_004154105.1	other	0.75	16
GCF_004154125.1	other	0.75	16
GCF_004154145.1	other	0.75	16
GCF_004154165.1	other	0.875	16
GCF_004154185.1	other	0.75	16
GCF_004154205.1	other	0.75	16
GCF_004154225.1	other	0.75	16
GCF_004154245.1	other	0.75	16
GCF_004154265.1	other	0.75	16
GCF_004154285.1	other	0.875	16
GCF_004154305.1	other	0.75	16
GCF_004154325.1	other	0.75	16
GCF_004154345.1	other	0.75	16
GCF_004154365.1	other	0.75	16
GCF_004154385.1	other	0.75	16
GCF_004154405.1	other	0.75	16
GCF_004193935.1	other	0.941176470588235	51
GCF_005160445.1	focal	0.909090909090909	11
GCF_005160565.1	other	0.153846153846154	13
GCF_005160785.1	focal	0.384615384615385	13
GCF_005160925.1	focal	0.888888888888889	54
GCF_005161125.1	focal	0.4	15
GCF_005161325.1	focal	0.333333333333333	3
GCF_005161465.1	focal	0.923076923076923	26
GCF_005161605.1	focal	0.964028776978417	139
GCF_005161825.1	focal	0.956521739130435	46
GCF_005161985.1	other	0.333333333333333	6
GCF_005162245.1	focal	0.428571428571429	7
GCF_005162405.1	focal	0.142857142857143	7
GCF_005162565.1	other	0.25	8
GCF_005162725.1	focal	0.444444444444444	9
GCF_005162865.1	other	0.166666666666667	12
GCF_005163085.1	focal	0.631578947368421	19
GCF_005163245.1	other	0.625	16
GCF_005163385.1	focal	0.2	10
GCF_005163565.1	other	0.833333333333333	24
GCF_005163705.1	focal	0.857142857142857	7
GCF_005163865.1	focal	0.666666666666667	6
GCF_005164025.1	focal	0.714285714285714	7
GCF_005164305.1	focal	0.2	10
GCF_005164585.1	other	0.695652173913044	46
GCF_005164705.1	focal	0.5	4
GCF_005164885.1	focal	0.5	8
GCF_005165045.1	focal	0	4
GCF_005165265.1	focal	0.888888888888889	18
GCF_005165385.1	focal	0	8
GCF_005222545.1	focal	0.8	25
GCF_005472355.1	other	0	3
GCF_005472365.1	other	0	4
GCF_005472375.1	other	0	4
GCF_005472385.1	other	0.25	4
GCF_005472395.1	other	0.25	4
GCF_005472455.1	other	0.333333333333333	3
GCF_005472465.1	other	0.166666666666667	6
GCF_005472475.1	other	0	4
GCF_005472595.1	other	0	4
GCF_005472615.1	other	0	2
GCF_006364235.1	other	0.416666666666667	24
GCF_006740645.1	other	0.565217391304348	46
GCF_008694005.1	other	0.962962962962963	81
GCF_009664495.1	other	0.941176470588235	34
GCF_009738475.1	other	0.941176470588235	34
GCF_009738495.1	other	0.941176470588235	34
GCF_009832845.1	focal	0.75	12
GCF_010499515.1	other	0.571428571428571	7
GCF_010499535.1	other	0.956521739130435	23
GCF_010499565.1	other	0.666666666666667	9
GCF_011290565.1	focal	0.846153846153846	13
GCF_012572265.1	other	0.782608695652174	46
GCF_013306985.1	other	1	48
GCF_014191695.1	other	0.75	8
GCF_014191835.1	other	0.833333333333333	24
GCF_014192005.1	focal	0.88	25
GCF_014192175.1	other	0.941176470588235	34
GCF_014218015.1	focal	0.89922480620155	129
GCF_014218035.1	focal	0.89922480620155	129
GCF_014495925.1	other	0.92	50
GCF_014495945.1	other	0.916666666666667	48
GCF_014495965.1	other	0.92	50
GCF_014495985.1	other	0.92	50
GCF_016126835.1	focal	0.95	80
GCF_016549335.1	other	0.451612903225806	62
GCF_016549355.1	other	0.451612903225806	62
GCF_016549375.1	other	0.451612903225806	62
GCF_017132795.1	other	0.966666666666667	60
GCF_017638465.1	focal	1	97
GCF_018140985.1	other	0.987951807228916	83
GCF_019335345.1	other	0.5	4
GCF_019335455.1	other	0.5	4
GCF_019335505.1	other	0	2
GCF_019335565.1	other	0	2
GCF_019335615.1	other	0	2
GCF_019335665.1	other	0	2
GCF_019335725.1	other	0	2
GCF_019335745.1	other	0	2
GCF_019335765.1	other	0	2
GCF_019335785.1	other	0	2
GCF_019335805.1	other	0	2
GCF_019335835.1	other	0	2
GCF_019335845.1	other	0	2
GCF_019335885.1	other	0	2
GCF_019335895.1	other	0	2
GCF_019335925.1	other	0	2
GCF_019335945.1	other	0	2
GCF_019335965.1	other	0	2
GCF_019335985.1	other	0	2
GCF_019335995.1	other	0	2
GCF_019336025.1	other	0	2
GCF_019336045.1	other	0	2
GCF_019336065.1	other	0	2
GCF_019336085.1	other	0	2
GCF_019336105.1	other	0	2
GCF_019336125.1	other	0	2
GCF_019342845.1	other	0.92	50
GCF_019342865.1	other	0.92	50
GCF_019342885.1	other	0.92	50
GCF_019342905.1	other	0.916666666666667	48
GCF_019342925.1	other	0.916666666666667	48
GCF_019342945.1	other	0.92	50
GCF_019342965.1	other	0.92	50
GCF_019342985.1	other	0.92	50
GCF_019343005.1	other	0.909090909090909	44
GCF_019343025.1	other	0.92	50
GCF_019343045.1	other	0.916666666666667	48
GCF_019343065.1	other	0.928571428571429	56
GCF_019343085.1	other	0.916666666666667	48
GCF_019448315.1	other	0.92	50
GCF_020826915.1	focal	0.2	10
GCF_020826935.1	focal	1	78
GCF_020826955.1	focal	0.571428571428571	14
GCF_020826975.1	other	1	84
GCF_020826995.1	focal	0.833333333333333	12
GCF_020827015.1	focal	0.966666666666667	60
GCF_020827035.1	focal	0	9
GCF_020827055.1	focal	0.761904761904762	42
GCF_020827075.1	focal	0.736842105263158	19
GCF_020827095.1	other	0.929824561403509	57
GCF_020827115.1	other	0.978723404255319	94
GCF_020827135.1	focal	0	10
GCF_022494495.1	other	0.857142857142857	7
GCF_022869605.1	other	0.416666666666667	24
GCF_022869745.1	other	0	2
GCF_023278205.1	focal	0.875	24
GCF_023380045.1	other	0.894736842105263	57
GCF_026781925.1	other	0.25	8
GCF_026782005.1	other	0	1
GCF_028215815.1	focal	0.846153846153846	13
GCF_028370195.1	other	0.739130434782609	46
GCF_028370215.1	other	0.733333333333333	60
GCF_028370235.1	other	0.966666666666667	60
GCF_028370255.1	other	0.956521739130435	46
GCF_028370275.1	other	0.733333333333333	60
GCF_028370295.1	other	0.966666666666667	60
GCF_028867825.1	other	0.857142857142857	7
GCF_029280505.1	focal	0.818181818181818	11
GCF_029280565.1	focal	0.846153846153846	13
GCF_029280585.1	focal	0.75	12
GCF_029323775.1	focal	0.818181818181818	11
GCF_029637645.1	other	0.461538461538462	26
GCF_033008475.1	focal	1	4
GCF_034430055.1	other	0.521739130434783	46
GCF_034432415.1	other	0.521739130434783	46
GCF_034433155.1	other	0.5	4
GCF_034434355.2	other	0.521739130434783	46
GCF_034436135.1	other	0.521739130434783	46
GCF_035918415.1	focal	0.953488372093023	86
GCF_035918435.1	focal	1	2
GCF_035918455.1	focal	1	4
GCF_035918475.1	other	0.25	16
GCF_035918495.1	other	0.375	16
GCF_035918515.1	focal	0.375	16
GCF_035918535.1	focal	0.944444444444444	144
GCF_035918555.1	focal	0.833333333333333	24
GCF_035918575.1	focal	1	14
