	freq	n_scored
site00499	0.05128205128205128	312
site00500	0.051118210862619806	313
site00501	0.07540983606557378	305
site00502	0.010526315789473684	285
site00503	0.010526315789473684	285
site00504	0.0	319
site00505	0.015822784810126583	316
site00506	0.0031645569620253164	316
site00507	0.012618296529968454	317
site00508	0.018808777429467086	319
site00509	0.0	322
site00510	0.0	322
site00511	0.0	323
site00512	0.0	323
site00513	0.006191950464396285	323
site00514	0.009259259259259259	324
site00515	0.0	320
site00516	0.0	322
site00517	0.0	320
site00518	0.003125	320
site00519	0.0	308
site00520	0.028125	320
site00521	0.03715170278637771	323
site00522	0.003236245954692557	309
site00523	0.006269592476489028	319
site00524	0.006211180124223602	322
site00525	0.009316770186335404	322
site00526	0.006191950464396285	323
site00527	0.0030959752321981426	323
site00528	0.0	321
site00529	0.0	319
site00530	0.009316770186335404	322
site00531	0.0	323
site00532	0.0030864197530864196	324
site00533	0.0030959752321981426	323
site00534	0.003115264797507788	321
site00535	0.0	323
site00536	0.003115264797507788	321
site00537	0.003105590062111801	322
site00538	0.006191950464396285	323
site00539	0.0	323
site00540	0.009375	320
site00541	0.009345794392523364	321
site00542	0.0030864197530864196	324
site00543	0.012422360248447204	322
site00544	0.006211180124223602	322
site00545	0.009287925696594427	323
site00546	0.0	324
site00547	0.0030959752321981426	323
site00548	0.0	324
site00549	0.009259259259259259	324
site00550	0.025157232704402517	318
site00551	0.021604938271604937	324
site00552	0.037267080745341616	322
site00553	0.04024767801857585	323
site00554	0.02476780185758514	323
site00555	0.0	317
site00556	0.006172839506172839	324
site00557	0.0030864197530864196	324
site00558	0.0030959752321981426	323
site00559	0.0	324
site00560	0.0	323
site00561	0.0030959752321981426	323
site00562	0.006369426751592357	314
site00563	0.006369426751592357	314
site00564	0.0	316
site00565	0.0	322
site00566	0.0	322
site00567	0.0	324
site00568	0.06918238993710692	318
site00569	0.06896551724137931	319
site00570	0.0030864197530864196	324
site00571	0.06984126984126984	315
site00572	0.0030959752321981426	323
site00573	0.015527950310559006	322
site00574	0.006191950464396285	323
site00575	0.044673539518900345	291
site00576	0.021604938271604937	324
site00577	0.08921933085501858	269
site00578	0.08888888888888889	270
site00602	1.0	253
site00603	1.0	279
site00604	1.0	279
site00605	1.0	279
site00606	1.0	280
site00607	1.0	164
site00608	1.0	240
site00610	1.0	185
site00611	1.0	186
site00612	1.0	187
site00613	1.0	188
site00614	1.0	189
site00615	1.0	192
site00616	1.0	192
site00617	1.0	201
site00618	1.0	236
site00619	1.0	240
site00620	1.0	239
site00621	1.0	240
site00622	1.0	265
site00623	1.0	268
site00624	1.0	270
site00625	1.0	285
site00626	1.0	281
site00627	1.0	284
site00628	1.0	285
site00629	1.0	312
site00630	1.0	283
site00631	1.0	290
site00632	1.0	312
site00633	1.0	237
site00634	1.0	241
site00635	0.3044982698961938	289
site00636	0.3044982698961938	289
site00637	0.25	268
site00638	0.3044982698961938	289
site00639	0.30689655172413793	290
site00640	0.30689655172413793	290
site00641	0.3116438356164384	292
site00642	1.0	226
site00643	1.0	246
site00644	1.0	250
site00645	1.0	303
site00646	1.0	263
site00647	1.0	276
site00648	1.0	238
site00649	1.0	261
site00650	1.0	262
site00651	1.0	261
site00652	1.0	269
site00653	1.0	265
site00654	1.0	266
site00655	1.0	265
site00656	1.0	266
site00657	1.0	271
site00658	1.0	271
site00659	1.0	292
site00660	1.0	255
site00661	1.0	259
site00662	1.0	259
site00663	1.0	260
site00664	1.0	253
site00665	1.0	253
site00666	1.0	180
site00667	1.0	183
site00668	1.0	184
site00669	1.0	251
site00670	1.0	251
site00671	1.0	252
site00672	1.0	257
site00673	0.11604095563139932	293
site00674	0.11604095563139932	293
site00675	0.11604095563139932	293
site00676	0.2619047619047619	294
site00677	0.26101694915254237	295
site00678	0.26013513513513514	296
site00679	0.2517241379310345	290
site00680	0.25	292
site00681	0.2517241379310345	290
site00682	0.2508591065292096	291
site00683	0.2508591065292096	291
site00684	1.0	296
site00685	1.0	299
site00686	1.0	300
site00687	1.0	300
site00688	1.0	321
site00689	1.0	321
site00690	1.0	315
site00692	1.0	323
site00693	0.33	300
site00694	0.32550335570469796	298
site00695	0.33222591362126247	301
site00696	0.33222591362126247	301
site00697	1.0	285
site00698	1.0	284
site00699	1.0	287
site00700	1.0	288
site00701	1.0	288
site00702	1.0	289
site00703	1.0	290
site00704	1.0	290
site00705	1.0	289
site00706	1.0	296
site00707	1.0	304
site00708	1.0	305
site00709	1.0	286
site00710	1.0	290
site00711	1.0	290
site00712	1.0	290
site00713	1.0	289
site00714	1.0	290
site00715	1.0	289
site00716	1.0	290
site00717	1.0	290
site00718	1.0	296
site00719	1.0	297
site00720	1.0	297
site00721	1.0	304
site00722	1.0	305
site00723	1.0	305
site00724	1.0	304
site00725	1.0	304
site00726	1.0	323
site00727	1.0	289
site00728	1.0	193
site00729	1.0	315
site00730	1.0	192
site00731	1.0	193
site00732	1.0	293
site00733	1.0	294
site00734	1.0	297
site00735	1.0	251
site00736	1.0	254
site00737	1.0	254
site00738	1.0	254
site00739	1.0	254
site00740	1.0	256
site00741	1.0	257
site00742	1.0	268
site00743	1.0	323
site00744	1.0	324
site00745	1.0	324
site00746	1.0	323
site00747	1.0	323
site00748	1.0	324
